"A new contact form message was submitted.","Poslata je nova poruka preko kontakt forme."
"Add store-specific fields and validation rules. Codes must be unique.","Dodajte polja i pravila validacije za Store View. Kodovi moraju biti jedinstveni."
"Add Field","Dodaj polje"
"Additional Fields","Dodatna polja"
"Additional Fields Configuration","Konfiguracija dodatnih polja"
"Additional information","Dodatne informacije"
"Allowed Customer Groups","Dozvoljene grupe kupaca"
"CAPTCHA Provider","CAPTCHA provajder"
"CAPTCHA is always verified again on the server.","CAPTCHA se uvek ponovo proverava na serveru."
"CAPTCHA verification failed. Please try again.","CAPTCHA provera nije uspela. Pokušajte ponovo."
"Cloudflare Turnstile","Cloudflare Turnstile"
"Cloudflare Turnstile Secret Key","Cloudflare Turnstile tajni ključ"
"Cloudflare Turnstile Site Key","Cloudflare Turnstile javni ključ"
"CMS Widget Code","CMS Widget kod"
"Code","Kod"
"Company Name","Naziv kompanije"
"Company Name Label","Naziv polja za kompaniju"
"Contact Form","Kontakt forma"
"Contact form notifications are sent to this address.","Obaveštenja kontakt forme šalju se na ovu adresu."
"Contact Us","Kontaktirajte nas"
"Copied","Kopirano"
"Copy Widget Code","Kopiraj Widget kod"
"Copy this directive into the content of a CMS page or CMS block.","Kopirajte ovu direktivu u sadržaj CMS stranice ili CMS bloka."
"Custom Form Title","Prilagođen naslov forme"
"Custom Success URL","Prilagođen Success URL"
"Disabled","Isključeno"
"MB Contact Form","MB kontakt forma"
"MB Contact Form Configuration","Podešavanje MB kontakt forme"
"MB Contact Form Notification","Obaveštenje MB kontakt forme"
"Displays the configured contact form for allowed customer groups.","Prikazuje podešenu kontakt formu dozvoljenim grupama kupaca."
"Each additional field code must contain 2-50 lowercase letters, numbers or underscores and start with a letter.","Kod svakog dodatnog polja mora imati 2-50 malih slova, brojeva ili donjih crta i početi slovom."
"Email Address","Email adresa"
"Email Address Label","Naziv polja za email adresu"
"Email Sender","Pošiljalac emaila"
"Email Template","Email šablon"
"Enable Contact Form","Omogući kontakt formu"
"Every additional field must have a label.","Svako dodatno polje mora imati naziv."
"Create or edit templates under Marketing > Communications > Email Templates, then select one here.","Napravite ili izmenite šablon u Marketing > Communications > Email Templates, a zatim ga izaberite ovde."
"Field Labels","Nazivi polja"
"Field ""%1"" contains characters that are not allowed.","Polje ""%1"" sadrži znakove koji nisu dozvoljeni."
"Field ""%1"" is required.","Polje ""%1"" je obavezno."
"Field ""%1"" is too long. Maximum length is %2 characters.","Polje ""%1"" je predugačko. Maksimalna dužina je %2 znakova."
"Fields","Polja"
"First Name","Ime"
"First Name Label","Naziv polja za ime"
"Form Title","Naslov forme"
"General Settings","Opšta podešavanja"
"Google reCAPTCHA v2 Checkbox","Google reCAPTCHA v2 polje za potvrdu"
"Google reCAPTCHA v2 Secret Key","Google reCAPTCHA v2 tajni ključ"
"Google reCAPTCHA v2 Site Key","Google reCAPTCHA v2 javni ključ"
"Label","Naziv"
"Last Name","Prezime"
"Last Name Label","Naziv polja za prezime"
"Leave empty to show the form to every customer group, including guests.","Ostavite prazno da bi forma bila vidljiva svim grupama kupaca, uključujući goste."
"Leave empty to use the module success page at /contact-success/. A custom URL will not include the prefilled newsletter email.","Ostavite prazno za success stranicu modula na /contact-success/. Prilagođen URL neće imati unapred popunjen newsletter email."
"Leave empty to use the Store View configuration.","Ostavite prazno za podešavanje iz Store View-a."
"Latin and Cyrillic letters and numbers","Latinična i ćirilična slova i brojevi"
"Latin and Cyrillic letters, numbers and punctuation","Latinična i ćirilična slova, brojevi i znakovi interpunkcije"
"Latin and Cyrillic letters only","Samo latinična i ćirilična slova"
"Message","Poruka"
"Message Body Label","Naziv polja za poruku"
"Message sent successfully","Poruka je uspešno poslata"
"New contact form message from %store_name","Nova poruka preko kontakt forme sa prodavnice %store_name"
"Newsletter Message","Newsletter poruka"
"Newsletter Subscribe URL","URL za prijavu na newsletter"
"No","Ne"
"No additional validation","Bez dodatne validacije"
"Numbers only","Samo brojevi"
"Options (comma-separated)","Opcije (odvojene zarezom)"
"Phone Number","Broj telefona"
"Phone Number Label","Naziv polja za broj telefona"
"Plain text only. Line breaks are preserved.","Dozvoljen je samo običan tekst. Prelomi redova se čuvaju."
"Please complete the CAPTCHA verification.","Završite CAPTCHA proveru."
"Please enter a valid email address.","Unesite ispravnu email adresu."
"Please select","Izaberite"
"Please use Latin or Cyrillic letters and spaces only.","Koristite samo latinična ili ćirilična slova i razmake."
"Please use Latin or Cyrillic letters, numbers and punctuation only.","Koristite samo latinična ili ćirilična slova, brojeve i znakove interpunkcije."
"Please use Latin or Cyrillic letters, numbers and spaces only.","Koristite samo latinična ili ćirilična slova, brojeve i razmake."
"Please use numbers only.","Koristite samo brojeve."
"Recipient Email","Email primaoca"
"Required","Obavezno"
"Select","Padajuća lista"
"Select field ""%1"" must have comma-separated options.","Polje sa listom ""%1"" mora imati opcije odvojene zarezom."
"Sender Email","Email pošiljaoca"
"Sender Name","Ime pošiljaoca"
"Sort Order","Redosled"
"Spam Protection","Zaštita od neželjenih poruka"
"Submit","Pošaljite"
"Submit Button Label","Naziv Submit dugmeta"
"Subscribe","Prijavite se"
"Subscribe to our newsletter and do not miss the best discounts and special offers!","Prijavite se na naš newsletter i ne propustite najbolje popuste i specijalne ponude!"
"Success Message","Success poruka"
"Success Page Meta Description","Meta opis Success stranice"
"Success Page Meta Title","Meta naslov Success stranice"
"Text","Tekst"
"Textarea","Višeredni tekst"
"Thank you. Your message has been sent successfully. We will contact you as soon as possible.","Hvala. Vaša poruka je uspešno poslata i bićete kontaktirani u najkraćem mogućem roku."
"The additional field ""%1"" has an unsupported type or validation rule.","Dodatno polje ""%1"" ima nepodržan tip ili pravilo validacije."
"The additional field code ""%1"" is duplicated or reserved.","Kod dodatnog polja ""%1"" je dupliran ili rezervisan."
"The contact form email addresses are not configured correctly.","Email adrese kontakt forme nisu pravilno podešene."
"The contact form is not available.","Kontakt forma nije dostupna."
"The notification From address. Use an address authorized by the store domain SPF/DMARC policy.","From adresa obaveštenja. Koristite adresu koju dozvoljava SPF/DMARC politika domena prodavnice."
"The submitted contact form data is not valid.","Poslati podaci kontakt forme nisu ispravni."
"The value selected for ""%1"" is not valid.","Izabrana vrednost za ""%1"" nije ispravna."
"Type","Tip"
"Validation","Validacija"
"We could not send your message right now. Please try again later.","Trenutno nije moguće poslati poruku. Pokušajte ponovo kasnije."
"Yes","Da"
"Your message has been sent successfully.","Vaša poruka je uspešno poslata."
"Your session has expired. Please refresh the page and try again.","Vaša sesija je istekla. Osvežite stranicu i pokušajte ponovo."
